@relation loanDefault
@attribute Loan_Amount REAL
@attribute Term { '36 months','60 months' }
@attribute Interest_Rate REAL
@attribute Employment_Length { '< 1 year','1 year','2 years','3 years','4 years','5 years','6 years','7 years','8 years','9 years','10+ years','n/a'}
@attribute Home_Ownership { 'OWN','RENT','MORTGAGE','NONE','OTHER'}
@attribute Annual_Income REAL
@attribute Debt_to_Income REAL
@attribute Credit_Score REAL
@attribute Class {'Fully Paid','Charged Off'}
@DATA
8000,'36 months',0.1099,'2 years','MORTGAGE',33000,15.75,689,'Charged Off'
27600,'60 months',0.1997,'6 years','MORTGAGE',73000,23.13,669,'Charged Off'
18450,'36 months',0.1398,'10+ years','RENT',65000,15.84,699,'Charged Off'
10000,'60 months',0.1398,'5 years','RENT',25000,27.03,704,'Charged Off'
14825,'36 months',0.1825,'< 1 year','RENT',175000,8.07,729,'Charged Off'
9450,'36 months',0.1398,'n/a','RENT',21900,17.26,699,'Charged Off'
13225,'36 months',0.1398,'< 1 year','RENT',30192,27.98,689,'Charged Off'
28000,'60 months',0.234,'10+ years','RENT',124000,8.58,669,'Charged Off'
15000,'36 months',0.1757,'3 years','RENT',60000,3.68,704,'Charged Off'
23675,'60 months',0.1997,'< 1 year','OWN',54000,30.02,679,'Charged Off'
10100,'36 months',0.2148,'n/a','MORTGAGE',45000,14.11,669,'Charged Off'
19425,'60 months',0.2589,'5 years','RENT',55000,19.69,664,'Charged Off'
6000,'36 months',0.1825,'1 year','MORTGAGE',74000,16.51,674,'Charged Off'
12000,'60 months',0.1561,'10+ years','RENT',55000,4.51,664,'Charged Off'
16000,'60 months',0.1922,'8 years','MORTGAGE',105000,20.35,674,'Charged Off'
16000,'60 months',0.1825,'10+ years','MORTGAGE',97000,10.34,669,'Charged Off'
10600,'60 months',0.1447,'10+ years','MORTGAGE',60000,13.7,704,'Charged Off'
25000,'36 months',0.1353,'5 years','MORTGAGE',84087,15.54,679,'Charged Off'
15000,'60 months',0.1922,'7 years','MORTGAGE',60000,17.26,674,'Charged Off'
35000,'36 months',0.1624,'6 years','MORTGAGE',100000,19.26,694,'Charged Off'
14000,'60 months',0.1624,'5 years','MORTGAGE',58000,7.78,674,'Charged Off'
20000,'36 months',0.089,'1 year','MORTGAGE',87000,12.83,699,'Charged Off'
25000,'60 months',0.1825,'2 years','MORTGAGE',70000,25.2,679,'Charged Off'
20000,'36 months',0.1447,'10+ years','MORTGAGE',75000,16.14,694,'Charged Off'
15000,'60 months',0.1757,'3 years','MORTGAGE',58000,8.98,674,'Charged Off'
20000,'60 months',0.1561,'2 years','MORTGAGE',195000,10.93,689,'Charged Off'
18500,'60 months',0.237,'n/a','MORTGAGE',84750,13.42,679,'Charged Off'
10000,'36 months',0.1285,'6 years','RENT',50000,9,669,'Charged Off'
3000,'36 months',0.1561,'5 years','RENT',49000,21.16,664,'Charged Off'
35000,'60 months',0.2408,'10+ years','MORTGAGE',120000,6.67,664,'Charged Off'
5750,'36 months',0.1825,'4 years','RENT',26000,26.89,694,'Charged Off'
22750,'60 months',0.229,'n/a','MORTGAGE',58000,34.43,674,'Charged Off'
16000,'60 months',0.1447,'9 years','MORTGAGE',40000,29.61,689,'Charged Off'
16000,'36 months',0.1624,'3 years','RENT',41734,34.02,674,'Charged Off'
13000,'60 months',0.1447,'5 years','MORTGAGE',43000,9.29,724,'Charged Off'
19800,'60 months',0.1757,'6 years','MORTGAGE',75000,21.44,674,'Charged Off'
35000,'60 months',0.1922,'10+ years','MORTGAGE',138000,9.37,674,'Charged Off'
20775,'60 months',0.234,'10+ years','OWN',83000,15.12,699,'Charged Off'
21250,'36 months',0.1757,'< 1 year','OWN',54000,25.42,664,'Charged Off'
11875,'36 months',0.1624,'10+ years','OWN',32000,7.05,699,'Charged Off'
30000,'36 months',0.1825,'10+ years','MORTGAGE',150000,12.53,769,'Charged Off'
20000,'36 months',0.1353,'10+ years','MORTGAGE',51000,10.16,679,'Charged Off'
6000,'36 months',0.1757,'3 years','MORTGAGE',65000,22.54,684,'Charged Off'
15850,'60 months',0.2408,'10+ years','OWN',65000,17.87,679,'Charged Off'
10000,'36 months',0.1561,'2 years','RENT',77000,6.28,664,'Charged Off'
12375,'60 months',0.1922,'3 years','MORTGAGE',90000,11.64,674,'Charged Off'
9000,'36 months',0.1285,'9 years','RENT',40000,17.61,709,'Charged Off'
8125,'36 months',0.1699,'n/a','OWN',20000,25.69,684,'Charged Off'
15000,'60 months',0.1825,'n/a','RENT',36000,12.5,704,'Charged Off'
20950,'60 months',0.2148,'6 years','RENT',60000,31.33,704,'Charged Off'
7000,'36 months',0.1757,'< 1 year','MORTGAGE',52000,20.12,709,'Charged Off'
6000,'36 months',0.1099,'10+ years','RENT',56400,26.26,684,'Charged Off'
10000,'36 months',0.1285,'10+ years','MORTGAGE',130000,21.24,699,'Charged Off'
9000,'36 months',0.1561,'10+ years','RENT',26000,31.12,674,'Charged Off'
9175,'36 months',0.1498,'n/a','RENT',27350,13.16,679,'Charged Off'
18000,'36 months',0.1353,'2 years','OWN',75000,15.5,709,'Charged Off'
19425,'60 months',0.205,'9 years','RENT',49000,19.5,669,'Charged Off'
8000,'36 months',0.1825,'10+ years','OWN',48000,20.25,679,'Charged Off'
1800,'36 months',0.2148,'3 years','RENT',29999,21.61,709,'Charged Off'
6900,'36 months',0.205,'5 years','MORTGAGE',40000,20.01,669,'Charged Off'
12000,'36 months',0.089,'< 1 year','MORTGAGE',96000,24.58,709,'Charged Off'
10000,'36 months',0.234,'10+ years','MORTGAGE',87500,20.97,689,'Charged Off'
35000,'60 months',0.2148,'10+ years','MORTGAGE',130000,15.75,704,'Charged Off'
16000,'60 months',0.1825,'10+ years','OWN',42000,9.94,664,'Charged Off'
12775,'36 months',0.1624,'2 years','RENT',38900,27.49,684,'Charged Off'
6625,'36 months',0.234,'2 years','RENT',90000,9.63,664,'Charged Off'
12000,'60 months',0.1447,'10+ years','RENT',48000,18.6,679,'Charged Off'
10000,'36 months',0.1922,'2 years','RENT',250000,4.35,714,'Charged Off'
19000,'36 months',0.1561,'< 1 year','MORTGAGE',185196,9.25,684,'Charged Off'
6000,'36 months',0.1285,'2 years','RENT',48000,18.23,664,'Charged Off'
19425,'60 months',0.2583,'5 years','MORTGAGE',54000,24.49,694,'Charged Off'
10000,'36 months',0.1353,'3 years','RENT',52000,28.53,689,'Charged Off'
10000,'60 months',0.1997,'10+ years','RENT',40000,34.62,679,'Charged Off'
